Dato;Vekt
15.01.2024;111,3
16.01.2024;111,8
17.01.2024;111,8
18.01.2024;110,9
19.01.2024;110,9
20.01.2024;110,9
21.01.2024;111
22.01.2024;111
23.01.2024;111
24.01.2024;111
25.01.2024;112,1
26.01.2024;112,4
27.01.2024;112,4
28.01.2024;110,8
29.01.2024;110,8
30.01.2024;110,8
31.01.2024;111
01.02.2024;111,2
02.02.2024;112
11.02.2024;111,7
16.02.2024;111,2
18.02.2024;110,8
20.02.2024;110
21.02.2024;110,4
22.02.2024;110,5
23.02.2024;109,9
24.02.2024;110,2
25.02.2024;110,1
26.02.2024;110,8
27.02.2024;111,1
28.02.2024;110,9
29.02.2024;111
01.03.2024;111
02.03.2024;110,7
03.03.2024;110,9
04.03.2024;110,9
05.03.2024;111,1
06.03.2024;111,2
07.03.2024;111,1
08.03.2024;110,5
09.03.2024;109,6
10.03.2024;110,2
11.03.2024;110,2
12.03.2024;109,2
13.03.2024;109,4
17.03.2024;111,6
18.03.2024;111
19.03.2024;110,2
20.03.2024;111,1
25.03.2024;111,5
26.03.2024;111,5
27.03.2024;111,5
28.03.2024;111,4
29.03.2024;112,2
12.04.2024;112,2
13.04.2024;109,1
14.04.2024;109,1
15.04.2024;109,1
16.04.2024;109,1
17.04.2024;106,5
22.04.2024;106,5
23.04.2024;108,2
02.05.2024;108,2
03.05.2024;107,4
04.05.2024;106,6
06.05.2024;106,6
07.05.2024;108,6
09.05.2024;108,6
10.05.2024;107,1
12.05.2024;107,1
13.05.2024;107
14.05.2024;107
15.05.2024;108,2
17.05.2024;108,2
18.05.2024;108,3
23.05.2024;108,3
24.05.2024;108,1
25.05.2024;108,1
26.05.2024;107,8
27.05.2024;107,8
28.05.2024;107,5
29.05.2024;107,4
30.05.2024;108,5
20.06.2024;108,5
21.06.2024;107,9
22.06.2024;107,9
23.06.2024;106,2
26.06.2024;106,2
27.06.2024;107,1
08.07.2024;107,1
09.07.2024;107
12.07.2024;107
13.07.2024;108,8
14.07.2024;108,8
15.07.2024;106,9
16.07.2024;106,9
17.07.2024;107,7
18.07.2024;107,7
19.07.2024;106,7
20.07.2024;106,7
21.07.2024;106,2
22.07.2024;105,5
23.07.2024;105,5
24.07.2024;107,1
27.07.2024;107,1
28.07.2024;107,2
29.07.2024;107,1
30.07.2024;107,5
06.08.2024;107,5
07.08.2024;106,9
11.08.2024;106,9
12.08.2024;107,9
13.08.2024;107,5
14.08.2024;107,8
15.08.2024;107,8
16.08.2024;108,1
17.08.2024;108,1
18.08.2024;107,4
19.08.2024;108,4
20.08.2024;107
21.08.2024;107
22.08.2024;106,9
23.08.2024;107,5
24.08.2024;105,9
25.08.2024;107,5
26.08.2024;106,2
27.08.2024;107,1
29.08.2024;107,1
30.08.2024;105,6
31.08.2024;107,8
01.09.2024;107,5
03.09.2024;107,5
04.09.2024;107,3
05.09.2024;106,8
06.09.2024;107,4
07.09.2024;107,4
08.09.2024;107
09.09.2024;107
10.09.2024;106,3
13.09.2024;106,3
14.09.2024;105,8
15.09.2024;105,6
16.09.2024;105,6
17.09.2024;105,9
18.09.2024;104,5
19.09.2024;105,8
20.09.2024;104,4
21.09.2024;108,2
22.09.2024;107,1
23.09.2024;106,5
26.09.2024;106,5
27.09.2024;107
28.09.2024;105,6
29.09.2024;107,2
30.09.2024;106,7
01.10.2024;106,4
02.10.2024;106,2
03.10.2024;105,4
04.10.2024;104,9
05.10.2024;105,3
06.10.2024;105,7
07.10.2024;105,7
08.10.2024;104,7
09.10.2024;105,5
11.10.2024;105,5
12.10.2024;104,7
13.10.2024;105,9
14.10.2024;105,9
15.10.2024;105,1
16.10.2024;104,5
17.10.2024;103,7
21.10.2024;104,1
